split,model,mae,rmse,n
val,naive_persistence,0.11934511817767117,0.17906624903604668,309
val,positional_average,0.12090055960748877,0.166650182059521,309
test,naive_persistence,0.1281134111042257,0.19130926441064822,293
test,positional_average,0.10467365511668636,0.1469693496895594,293
val,ridge,0.12766296591585014,0.16502400746352405,309
test,ridge,0.1274907806158681,0.16139070773493414,293
val,gradient_boosted,0.12294897414138004,0.16517263908786972,309
test,gradient_boosted,0.12062628315029238,0.15868496647233124,293
