Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share,target_next_ga90,target_next_90s,target_season,has_target,forecast_2627_ga90,forecast_2627_p10,forecast_2627_p50,forecast_2627_p90,forecast_delta,early_2627_90s,early_2627_ga90
Andrey Santos,Brazil,MF,Chelsea,21,2004,27,13,1260,14.0,1,0,1,1,0,0,4,0,0.0714285714285714,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,False,2025-26,2025,0.0714285714285714,2,1268,8.0,1252.0,0.0476190476190476,0.0,,441,38.0,57.73684210526316,13.394736842105264,4.368421052631579,10.947368421052632,58.0,52.0,0.5502702702702702,,,,False,0.13733791012813337,0.0,0.11404786548012659,0.3579177300163558,0.06590933869956198,0.9,0.0
André,Brazil,MF,Wolves,24,2001,35,30,2762,30.7,1,0,1,1,0,0,12,0,0.0325732899022801,0.0,0.0325732899022801,0.0325732899022801,0.0325732899022801,False,2025-26,2025,0.0325732899022801,2,5234,2472.0,290.0,0.02171552660152,0.0,,576,,,,,,,,,,,,False,0.14741112450370406,0.0,0.10970188724467891,0.3381647647244198,0.11483783460142395,,
Andy Robertson,Scotland,DF,Liverpool,31,1994,24,11,1176,13.1,1,0,1,1,0,0,0,0,0.0763358778625954,0.0,0.0763358778625954,0.0763358778625954,0.0763358778625954,False,2025-26,2025,0.0763358778625954,5,10471,2482.0,-1306.0,0.0912165456231446,0.036231884057971,0.2659574468085106,961,38.0,59.31578947368421,15.473684210526317,4.605263157894737,11.447368421052632,63.0,53.0,0.5747800586510264,,,,False,0.1370969526190291,0.0,0.11070669790901413,0.1366521557101055,0.060761074756433706,3.1,0.0
Angel Gomes,England,"MF,FW",Wolves,24,2000,12,7,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,1,461,,,0.0,,,576,,,,,,,,,,,,False,0.333617752102749,0.0,0.20155923180951282,0.48665507510217504,0.333617752102749,,
Anthony Elanga,Sweden,"FW,MF",Newcastle,23,2002,32,14,1319,14.7,0,1,1,0,0,0,0,0,0.0,0.0680272108843537,0.0680272108843537,0.0,0.0680272108843537,False,2025-26,2025,0.0680272108843537,5,7893,2501.0,-1182.0,0.2285629994402523,0.6115107913669064,0.5185185185185185,529,38.0,52.47368421052632,12.947368421052632,4.631578947368421,12.342105263157896,53.0,55.0,0.5119667013527576,,,,False,0.3662760764789273,0.0,0.36157844698058367,0.5392976905208698,0.2982488655945736,2.6,0.78
Anthony Gordon,England,FW,Newcastle,24,2001,26,24,1795,19.9,6,2,8,3,3,3,3,1,0.3015075376884422,0.100502512562814,0.4020100502512563,0.1507537688442211,0.2512562814070351,False,2025-26,2025,0.4020100502512563,4,9404,2434.0,-639.0,0.4157502606059731,0.4074074074074074,0.6542056074766355,576,38.0,52.47368421052632,12.947368421052632,4.631578947368421,12.342105263157896,53.0,55.0,0.5119667013527576,,,,False,0.41021939318207373,0.0,0.5357419653520397,0.7382745044888426,0.008209342930817431,,
Antoine SemenyoAntoine Semenyo,Ghana,MF,Manchester City,25,2000,37,37,3195,35.5,17,4,21,16,1,2,7,0,0.4788732394366197,0.1126760563380281,0.5915492957746479,0.4507042253521127,0.5633802816901409,False,2025-26,2025,0.5915492957746479,1,3195,,,0.5915492957746479,,,625,38.0,60.6578947368421,15.657894736842104,5.394736842105263,9.710526315789474,77.0,35.0,0.617219917012448,,,,False,0.50304011542768,0.0,0.49374324432109384,0.6504476432002199,-0.08850918034696786,,
Anton Stach,Germany,MF,Leeds United,26,1998,29,28,2370,26.3,5,3,8,5,0,0,3,0,0.1901140684410646,0.1140684410646387,0.3041825095057034,0.1901140684410646,0.3041825095057034,False,2025-26,2025,0.3041825095057034,1,2370,,,0.3041825095057034,,,676,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.18215198537989874,0.0,0.19516876055824509,0.4306499448297968,-0.12203052412580467,4.0,0.25
Antonee Robinson,USA,"DF,MF",Fulham,27,1997,22,17,1492,16.6,1,0,1,0,1,1,5,0,0.0602409638554216,0.0,0.0602409638554216,0.0,0.0,False,2025-26,2025,0.0602409638554216,4,11012,3167.0,-1675.0,0.1166154013070435,0.284090909090909,0.1652892561983471,729,38.0,51.73684210526316,12.657894736842104,3.631578947368421,11.789473684210526,47.0,51.0,0.5177610333692142,,,,False,0.12639895746903634,0.0,0.17336650313044422,0.3078920203701141,0.06615799361361474,3.8,0.0
Antonín Kinský,Czechia,GK,Tottenham,22,2003,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,2,1170,540.0,90.0,0.0,0.0,,484,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,-0.02813989453183391,0.0,-0.0005878388504237791,0.0227825278389369,-0.02813989453183391,4.0,0.0
Ao Tanaka,Japan,MF,Leeds United,26,1998,28,14,1315,14.6,2,0,2,2,0,0,1,0,0.136986301369863,0.0,0.136986301369863,0.136986301369863,0.136986301369863,False,2025-26,2025,0.136986301369863,1,1315,,,0.136986301369863,,,676,38.0,45.73684210526316,12.552631578947368,3.973684210526316,12.526315789473683,49.0,56.0,0.5005246589716683,,,,False,0.10756536942085108,0.0,0.09589414050523706,0.35263080426716825,-0.029420931949011922,2.1,0.48
Archie Gray,England,"MF,DF",Tottenham,19,2006,24,18,1478,16.4,2,2,4,2,0,0,5,0,0.1219512195121951,0.1219512195121951,0.2439024390243902,0.1219512195121951,0.2439024390243902,False,2025-26,2025,0.2439024390243902,2,3229,1751.0,-273.0,0.1626016260162601,0.0,,361,38.0,50.42105263157895,11.447368421052632,3.842105263157895,12.289473684210526,48.0,57.0,0.4822616407982262,,,,False,0.26398196750413044,0.0,0.2808519450749176,0.49222226261499286,0.020079528479740233,2.6,0.0
Armando Broja,Albania,FW,Burnley,23,2001,24,8,860,9.6,1,1,2,1,0,0,0,0,0.1041666666666666,0.1041666666666666,0.2083333333333333,0.1041666666666666,0.2083333333333333,False,2025-26,2025,0.2083333333333333,4,3463,334.0,526.0,0.1714827114370493,0.0,0.303030303030303,529,,,,,,,,,,,,False,0.5023047546930045,0.0,0.3344691274442543,0.7531931414994701,0.29397142135967125,,
Axel Disasi,France,DF,West Ham,27,1998,14,14,1254,13.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,2,3833,2579.0,-1325.0,0.0232288037166085,0.0696864111498257,,729,,,,,,,,,,,,False,0.08511454549550075,0.0,0.03896945926867033,0.11084274658547533,0.08511454549550075,1.5,0.0
Axel Tuanzebe,DR Congo,DF,Burnley,27,1997,14,14,1201,13.3,1,0,1,1,0,0,1,0,0.075187969924812,0.0,0.075187969924812,0.075187969924812,0.075187969924812,False,2025-26,2025,0.075187969924812,3,3419,1710.0,-509.0,0.0618212197159565,0.0526315789473684,0.0,729,,,,,,,,,,,,False,0.10523919607673797,0.0,0.060600671164996664,0.11182949800985718,0.030051226151925972,,
Ayden Heaven,England,DF,Manchester Utd,18,2006,17,11,924,10.3,0,1,1,0,0,0,2,0,0.0,0.0970873786407767,0.0970873786407767,0.0,0.0970873786407767,False,2025-26,2025,0.0970873786407767,2,1094,170.0,754.0,0.0647249190938511,0.0,,324,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.19496414338292384,0.0,0.10884534288445577,0.18710849811666755,0.09787676474214714,1.0,0.0
Bafodé Diakité,France,DF,Bournemouth,24,2001,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,1,1277,,,0.0,,,576,38.0,50.078947368421055,13.842105263157896,4.684210526315789,12.63157894736842,58.0,54.0,0.5228628230616302,,,,False,0.06871434236895058,0.0,0.08046503714265799,0.15174964818886705,0.06871434236895058,,
Bart Verbruggen,Netherlands,GK,Brighton,22,2002,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,3,8550,3240.0,180.0,0.0061728395061728,0.0277777777777777,0.0,484,38.0,53.94736842105263,13.0,4.631578947368421,11.68421052631579,52.0,46.0,0.5266524520255864,,,,False,-0.0009303427647741227,0.0,-4.152976006748146e-05,0.04336859897588447,-0.0009303427647741227,4.0,0.0
Bashir Humphreys,England,"DF,MF",Burnley,22,2003,20,17,1578,17.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,1,1578,,,0.0,,,484,,,,,,,,,,,,False,0.080469350329248,0.0,0.11798600756767234,0.21541203527341402,0.080469350329248,,
Ben White,England,DF,Arsenal,27,1997,12,9,702,7.8,0,1,1,0,0,0,0,0,0.0,0.1282051282051282,0.1282051282051282,0.0,0.1282051282051282,False,2025-26,2025,0.1282051282051282,5,10823,1198.0,-496.0,0.1418346459744781,0.150375939849624,0.2409638554216867,729,38.0,56.44736842105263,14.526315789473683,4.894736842105263,8.157894736842104,71.0,27.0,0.640371229698376,,,,False,0.2640154933477063,0.0,0.17155151484167006,0.2505783150252275,0.1358103651425781,3.5,0.29
Benjamin Šeško,Slovenia,FW,Manchester Utd,22,2003,30,17,1643,18.3,11,1,12,11,0,0,2,0,0.6010928961748634,0.0546448087431694,0.6557377049180327,0.6010928961748634,0.6557377049180327,False,2025-26,2025,0.6557377049180327,1,1643,,,0.6557377049180327,,,484,38.0,51.92105263157895,15.657894736842104,5.657894736842105,11.578947368421051,69.0,50.0,0.5748792270531401,,,,False,0.5433819099796746,0.0,0.5893811744953188,0.8205488350051697,-0.11235579493835812,0.9,1.13
Benoît Badiashile,France,DF,Chelsea,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,4,3048,334.0,137.0,0.0086384477373911,0.0,0.0671140939597315,576,38.0,57.73684210526316,13.394736842105264,4.368421052631579,10.947368421052632,58.0,52.0,0.5502702702702702,,,,False,0.1362952058898376,0.0,0.04872494205483501,0.18670569961764016,0.1362952058898376,,
Bernardo Silva,Portugal,MF,Manchester City,30,1994,38,34,2872,31.9,2,4,6,2,0,0,10,0,0.0626959247648902,0.1253918495297805,0.1880877742946708,0.0626959247648902,0.1880877742946708,False,2025-26,2025,0.1880877742946708,5,13182,2670.0,202.0,0.2378434639592629,0.2693602693602693,0.5244755244755245,900,38.0,60.6578947368421,15.657894736842104,5.394736842105263,9.710526315789474,77.0,35.0,0.617219917012448,,,,False,0.3063133646810245,0.0,0.28871684695609723,0.46427284752625975,0.11822559038635369,,
Bernd Leno,Germany,GK,Fulham,33,1992,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,False,2025-26,2025,0.0,5,13860,3420.0,0.0,0.0058479532163742,0.0263157894736842,0.0,1089,38.0,51.73684210526316,12.657894736842104,3.631578947368421,11.789473684210526,47.0,51.0,0.5177610333692142,,,,False,0.000998554351355805,0.0,-0.002357530831936602,-0.00019754332048221005,0.000998554351355805,4.0,0.0
Bertrand Traoré,Burkina Faso,"MF,FW",Sunderland,29,1995,12,9,632,7.0,1,0,1,1,0,0,1,0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,False,2025-26,2025,0.1428571428571428,4,1096,11.0,621.0,0.1522181522181522,0.0,0.7692307692307692,841,38.0,44.89473684210526,10.421052631578949,3.421052631578948,14.210526315789474,42.0,48.0,0.4230769230769231,,,,False,0.2993673093056452,0.0,0.18506325598548146,0.5735934779822829,0.1565101664485024,,
