Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Oliver McBurnie,,FW,Hull City,29.0,1996.0,4,4,351,3.9,0,1,1,0,0,0,2,0,0.0,0.26,0.26,0.0,0.26,False,2026-27,2026,True,4.0,0.26,2,1631,1280.0,-929.0,0.3846009389671362,0.6338028169014085,,841.0,,,,,,,,
Olivier Boscagli,,"DF,MF",Brighton,28.0,1997.0,4,4,346,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1148,802.0,-456.0,0.03745318352059925,0.11235955056179775,,784.0,,,,,,,,
Omar Alderete,,DF,Sunderland,29.0,1996.0,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2822,2798.0,-2774.0,0.021436227224008574,0.06430868167202572,,841.0,,,,,,,,
Omar Marmoush,,"FW,MF",Tottenham,26.0,1999.0,3,3,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2124,700.0,-451.0,0.2303125203888563,0.7692307692307693,0.5343511450381679,676.0,,,,,,,,
Oscar Bobb,,MF,Fulham,22.0,2003.0,4,4,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,591,16.0,257.0,0.06535947712418302,0.0,0.5882352941176471,484.0,,,,,,,,
Ousmane Diomande,,DF,Nottingham,,,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,91,,,0.0,,,,,,,,,,,
Paddy McNair,,"DF,MF",Hull City,,,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,27,,,0.0,,,,,,,,,,,
Pascal Groß,,MF,Brighton,34.0,1991.0,4,4,360,4.0,2,2,4,1,1,1,2,0,0.5,0.5,1.0,0.25,0.75,False,2026-27,2026,True,4.0,1.0,5,10387,1636.0,-1276.0,0.760416306060395,0.21978021978021978,0.40462427745664736,1156.0,,,,,,,,
Pascal Struijk,,DF,Brighton,26.0,1999.0,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,7205,2936.0,-2922.0,0.01754853215635817,0.03067484662576687,0.12295081967213116,676.0,,,,,,,,
Patrick Dorgu,,"MF,DF",Manchester Utd,21.0,2004.0,4,2,167,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,2458,1449.0,-1282.0,0.11042097998619738,0.49689440993788814,0.0,441.0,,,,,,,,
Pau Torres,,DF,Aston Villa,28.0,1997.0,3,3,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,6347,1676.0,-1489.0,0.0027034333603676683,0.0,0.0,784.0,,,,,,,,
Pedro Neto,,MF,Chelsea,25.0,2000.0,4,3,247,2.7,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,False,2026-27,2026,True,4.0,0.36,6,8093,2631.0,-2384.0,0.370858064648019,0.3767123287671233,0.39682539682539686,625.0,,,,,,,,
Pedro Porro,,"MF,DF",Tottenham,26.0,1999.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,9806,2796.0,-2616.0,0.05494799597700026,0.09646302250803858,0.27586206896551724,676.0,,,,,,,,
Pep Chavarría,,"DF,MF",Chelsea,,,4,0,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,121,,,0.0,,,,,,,,,,,
Phil Foden,,MF,Manchester City,25.0,2000.0,4,3,218,2.4,0,2,2,0,0,0,1,1,0.0,0.83,0.83,0.0,0.83,False,2026-27,2026,True,4.0,0.83,6,10908,2086.0,-1868.0,0.7324137932327237,0.5172413793103449,0.4568527918781726,625.0,,,,,,,,
Piero Hincapié,,DF,Arsenal,23.0,2002.0,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1825,1792.0,-1759.0,0.050251256281407045,0.15075376884422112,,529.0,,,,,,,,
Promise David,,FW,Brighton,,,2,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,24,,,0.0,,,,,,,,,,,
Quinten Timber,,MF,Crystal Palace,,,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,163,,,0.0,,,,,,,,,,,
Rayan,,MF,Bournemouth,19.0,2006.0,4,4,347,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,1458,1111.0,-764.0,0.1897018970189702,0.5691056910569106,,361.0,,,,,,,,
Rayan Cherki,,MF,Manchester City,22.0,2003.0,4,3,219,2.4,2,2,4,2,0,0,1,0,0.82,0.82,1.64,0.82,1.64,False,2026-27,2026,True,4.0,1.64,2,2005,1786.0,-1567.0,1.3626936026936027,0.8080808080808081,,484.0,,,,,,,,
Reece James,,MF,Chelsea,26.0,1999.0,4,3,293,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,6846,1963.0,-1670.0,0.08820003227559246,0.27522935779816515,0.1694915254237288,676.0,,,,,,,,
Regan Slater,,MF,Hull City,,,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,False,2026-27,2026,True,4.0,0.25,1,360,,,0.25,,,,,,,,,,,
Reinildo Mandava,,DF,Sunderland,31.0,1994.0,4,4,359,4.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2325,1966.0,-1607.0,0.01529051987767584,0.04587155963302752,,961.0,,,,,,,,
Riccardo Calafiori,,DF,Arsenal,23.0,2002.0,4,4,327,3.6,0,2,2,0,0,0,0,0,0.0,0.55,0.55,0.0,0.55,False,2026-27,2026,True,4.0,0.55,3,3009,1699.0,-1372.0,0.43252107502872034,0.15873015873015875,0.27522935779816515,529.0,,,,,,,,
Richarlison,,FW,Tottenham,28.0,1997.0,1,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7559,1964.0,-1897.0,0.2464982659307359,0.6880733944954128,0.8928571428571429,784.0,,,,,,,,
