Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,90s,Goals Scored,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Card,Red Cards,Gls/90,Ast/90,G+A /90,G-PK /90,G+A-PK /90,multi_club_season,Season,season_start_year,is_partial_season,gameweeks_covered,prev_ga90,career_seasons_so_far,cum_minutes,minutes_prev_season,minutes_trend,ga90_ewm,ga90_prev_season,ga90_2_seasons_ago,age_sq,matches,avg_possession,avg_shots_for,avg_sot_for,avg_shots_against,goals_for,goals_against,shot_share
Tyler Adams,,MF,Bournemouth,26.0,1999.0,4,2,194,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,5,6208,1772.0,-1578.0,0.055314943313825644,0.20304568527918782,0.13761467889908258,676.0,,,,,,,,
Tyrick Mitchell,,MF,Crystal Palace,26.0,1999.0,4,4,329,3.7,2,0,2,2,0,0,0,0,0.55,0.0,0.55,0.55,0.55,False,2026-27,2026,True,4.0,0.55,6,15868,3251.0,-2922.0,0.4001197198823571,0.08310249307479224,0.14534883720930233,676.0,,,,,,,,
Tyrique George,,MF,Everton,19.0,2006.0,4,4,298,3.3,1,0,1,1,0,0,0,0,0.3,0.0,0.3,0.3,0.3,False,2026-27,2026,True,4.0,0.3,2,481,183.0,115.0,0.5333333333333333,1.0,,361.0,,,,,,,,
Tyrone Mings,,DF,Aston Villa,32.0,1993.0,3,1,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,8986,1324.0,-1151.0,0.0011704646983994131,0.0,0.0,1024.0,,,,,,,,
Valentín Barco,,"DF,MF",Chelsea,21.0,2004.0,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,338,307.0,-276.0,0.0,0.0,,441.0,,,,,,,,
Victor Lindelöf,,DF,Aston Villa,31.0,1994.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7060,948.0,-588.0,0.024814830582430246,0.09523809523809523,0.0,961.0,,,,,,,,
Victor Torp,,MF,Coventry City,,,3,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,56,,,0.0,,,,,,,,,,,
Viktor Gyökeres,,"FW,MF",Arsenal,27.0,1998.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2237,2224.0,-2211.0,0.2024291497975709,0.6072874493927126,,729.0,,,,,,,,
Virgil van Dijk,,DF,Liverpool,34.0,1991.0,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,16182,3420.0,-3060.0,0.04742289602371943,0.15789473684210525,0.10810810810810811,1156.0,,,,,,,,
Vitaliy Mykolenko,,DF,Everton,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,12579,2958.0,-2598.0,0.01540621828925489,0.030395136778115502,0.08771929824561403,676.0,,,,,,,,
Vitaly Janelt,,MF,Brentford,27.0,1998.0,4,4,360,4.0,2,0,2,2,0,0,3,0,0.5,0.0,0.5,0.5,0.5,False,2026-27,2026,True,4.0,0.5,6,11617,1443.0,-1083.0,0.41953233728029976,0.3125,0.16,729.0,,,,,,,,
Vitor Reis,,DF,Manchester City,19.0,2006.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,3,1.0,1.0,0.0,0.0,,361.0,,,,,,,,
Víctor Muñoz,,MF,Liverpool,,,4,3,240,2.7,1,0,1,1,0,0,1,0,0.37,0.0,0.37,0.37,0.37,False,2026-27,2026,True,4.0,0.37,1,240,,,0.37,,,,,,,,,,,
Walter Benítez,,GK,Crystal Palace,32.0,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,180,90.0,0.0,0.0,0.0,,1024.0,,,,,,,,
Wesley Fofana,,DF,Chelsea,25.0,2000.0,3,3,242,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,4,3766,1722.0,-1480.0,0.011634671320535193,0.05235602094240837,0.0,625.0,,,,,,,,
Will Hughes,,MF,Crystal Palace,30.0,1995.0,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,7496,1571.0,-1540.0,0.012775344007285172,0.0,0.12820512820512822,900.0,,,,,,,,
William Osula,,FW,Newcastle,22.0,2003.0,1,1,55,0.6,0,1,1,0,0,0,0,0,0.0,1.64,1.64,0.0,1.64,False,2026-27,2026,True,4.0,1.64,4,1794,819.0,-764.0,1.313656220322887,0.7692307692307693,0.6666666666666666,484.0,,,,,,,,
Wilson Isidor,,"FW,MF",Sunderland,25.0,2000.0,4,0,98,1.1,1,0,1,1,0,0,0,0,0.92,0.0,0.92,0.92,0.92,False,2026-27,2026,True,4.0,0.92,2,1263,1165.0,-1067.0,0.7683720930232558,0.46511627906976744,,625.0,,,,,,,,
Xaver Schlager,,MF,Nottingham,,,4,3,287,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,287,,,0.0,,,,,,,,,,,
Yasin Ayari,,MF,Brighton,22.0,2003.0,3,3,243,2.7,1,0,1,1,0,0,1,0,0.37,0.0,0.37,0.37,0.37,False,2026-27,2026,True,4.0,0.37,4,4204,1929.0,-1686.0,0.319165642535273,0.28037383177570097,0.13761467889908258,484.0,,,,,,,,
Yehor Yarmoliuk,,MF,Brentford,21.0,2004.0,4,1,150,1.7,0,1,1,0,0,0,1,0,0.0,0.6,0.6,0.0,0.6,False,2026-27,2026,True,4.0,0.6,4,4947,2659.0,-2509.0,0.42259887005649716,0.1016949152542373,0.0,441.0,,,,,,,,
Yoane Wissa,,"FW,MF",Newcastle,29.0,1996.0,4,4,350,3.9,1,1,2,1,0,0,2,0,0.26,0.26,0.51,0.26,0.51,False,2026-27,2026,True,4.0,0.51,6,9183,531.0,-181.0,0.48820986033548647,0.3389830508474576,0.7098765432098766,841.0,,,,,,,,
Youri Tielemans,,MF,Manchester Utd,28.0,1997.0,4,4,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,6,11797,1862.0,-1550.0,0.07895338794463054,0.1932367149758454,0.2976190476190476,784.0,,,,,,,,
Yéremy Pino,,MF,Crystal Palace,23.0,2002.0,4,3,227,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,2,2307,2080.0,-1853.0,0.05772005772005773,0.17316017316017315,,529.0,,,,,,,,
Zadok Yohanna,,FW,Brighton,,,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,13,,,0.0,,,,,,,,,,,
Zavier Gozo,,MF,Crystal Palace,,,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,30,,,0.0,,,,,,,,,,,
Zian Flemming,,"FW,MF",Ipswich Town,27.0,1998.0,2,0,53,0.6,1,0,1,1,0,0,0,0,1.7,0.0,1.7,1.7,1.7,False,2026-27,2026,True,4.0,1.7,2,1822,1769.0,-1716.0,1.3194585448392555,0.5583756345177665,,729.0,,,,,,,,
Zion Suzuki,,GK,Aston Villa,,,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,270,,,0.0,,,,,,,,,,,
Álvaro Rodríguez,,FW,Bournemouth,,,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,11,,,0.0,,,,,,,,,,,
Óscar Mingueza,,"DF,MF",Crystal Palace,,,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,1,18,,,0.0,,,,,,,,,,,
Đorđe Petrović,,GK,Bournemouth,26.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,2026-27,2026,True,4.0,0.0,3,5767,3420.0,-3060.0,0.0,0.0,0.0,676.0,,,,,,,,
