feature,importance_mean,importance_std
Position,0.021518772119069947,0.003015362729380998
ga90_ewm,0.015254493508855238,0.002694713609475206
G+A /90,0.010598744336890084,0.0021256796889759476
cum_minutes,0.0024205145962010594,0.002086064465783675
ga90_prev_season,0.0015567304065490708,0.0011335962017922866
minutes_trend,0.0008011447344118926,0.0011192847011522174
avg_possession,0.000745660730678744,0.0007615549385310359
avg_shots_for,0.00041352082082272285,0.0008495854189746996
90s,0.0002488874923669185,0.00020128080843575077
multi_club_season,0.0,0.0
age_sq,0.0,0.0
career_seasons_so_far,0.0,0.0
shot_share,-0.0002032765555682596,0.00031707084482485273
minutes_prev_season,-0.00020760677091542917,0.001074939853591516
avg_shots_against,-0.00043034208444980013,0.0004980283976243608
Age,-0.0009196776623524611,0.0011098191530204756
Minutes Played,-0.003388589914475826,0.0024853470329548244
